City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
172,Georgetown,MY,5.41,100.34,82.4,88,20,1.68,few clouds
173,Ilulissat,GL,69.22,-51.1,46.4,42,20,11.41,few clouds
174,Grindavik,IS,63.84,-22.43,50.0,93,75,20.8,light intensity shower rain
175,Turka,UA,49.15,23.03,62.01,94,12,11.99,few clouds
176,Matata,NZ,-37.88,176.75,41.0,94,19,1.99,few clouds
177,Hambantota,LK,6.12,81.12,80.85,76,96,15.86,overcast clouds
178,Lagoa,PT,39.05,-27.98,74.28,90,11,17.78,light rain
179,Vardo,NO,70.37,31.11,51.8,62,75,8.05,broken clouds
180,San Quintin,MX,30.48,-115.95,78.76,62,0,11.77,clear sky
181,Arraial Do Cabo,BR,-22.97,-42.03,78.8,65,0,20.8,clear sky
182,Ponta Do Sol,PT,32.67,-17.1,79.0,68,0,5.06,clear sky
183,Honningsvag,NO,70.98,25.97,46.4,65,40,9.17,scattered clouds
184,Hobyo,SO,5.35,48.53,77.14,82,56,26.15,broken clouds
185,Pervomayskoye,RU,43.92,46.71,73.09,59,6,7.65,clear sky
186,Egvekinot,RU,66.32,-179.17,42.48,85,86,7.67,overcast clouds
187,Banda Aceh,ID,5.56,95.32,80.71,77,100,3.18,overcast clouds
188,North Myrtle Beach,US,33.82,-78.68,91.99,62,20,4.7,few clouds
189,Auki,SB,-8.77,160.7,77.59,84,100,3.98,overcast clouds
190,Sanawad,IN,22.18,76.07,76.42,90,100,12.73,overcast clouds
191,Lodja,CD,-3.48,23.43,78.19,63,77,1.07,broken clouds
192,Byron Bay,AU,-28.65,153.62,57.2,71,90,8.05,overcast clouds
193,Manggar,ID,-2.88,108.27,81.43,82,61,13.58,broken clouds
194,Geraldton,AU,-28.77,114.6,60.8,82,90,16.11,overcast clouds
195,Yilan,TW,24.76,121.75,82.4,88,20,3.36,few clouds
196,Constitucion,CL,-35.33,-72.42,52.12,74,98,14.09,overcast clouds
197,Ballina,AU,-28.87,153.57,57.2,71,90,8.05,overcast clouds
198,Prainha,BR,-1.8,-53.48,94.51,41,59,2.33,broken clouds
199,Makarov,RU,48.63,142.8,56.28,90,100,14.63,light rain
200,Molchanovo,RU,57.58,83.77,51.57,91,8,3.49,clear sky
